[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][1. 0. 1. 0. 0. 2.],7.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][1. 0. 0. 0. 1. 2.],7.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][0. 0. 1. 0. 1. 2.],167.0
[0. 0. 0. 0. 0. 0.][1. 0. 1. 0. 1. 2.][1. 0. 1. 0. 1. 2.],0.0
[0. 0. 0. 0. 1. 2.][0. 0. 1. 1. 0. 0.][0. 0. 0. 0. 0. 0.],5.0
[0. 0. 0. 0. 1. 2.][0. 0. 1. 1. 0. 0.][0. 0. 1. 0. 0. 0.],0.0
[0. 0. 0. 0. 1. 2.][0. 0. 1. 1. 0. 0.][0. 0. 0. 1. 0. 0.],8.0
[0. 0. 0. 0. 1. 2.][0. 0. 1. 1. 0. 0.][0. 0. 1. 1. 0. 0.],123.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 0. 0. 0. 0. 0.],5.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 1. 0. 0. 0. 0.],30.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 0. 1. 0. 0. 0.],6.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 0. 0. 1. 0. 0.],16.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 0. 0. 0. 1. 0.],21.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 1. 1. 0. 0. 0.],15.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 1. 0. 1. 0. 0.],61.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 1. 0. 0. 1. 0.],24.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 0. 1. 1. 0. 0.],78.0
[0. 0. 0. 0. 0. 0.][0. 1. 1. 1. 2. 0.][0. 0. 1. 0. 1. 0.],79.0
